1;size=4;	585	585	98.632	5	1	585	368	949	3	0.0	4081	gi|2839189809|ref|XR_011219836.1|
1;size=4;	585	585	98.632	5	1	585	367	948	3	0.0	4081	gi|2839189795|ref|XR_011219822.1|
1;size=4;	585	585	98.632	5	1	585	367	948	3	0.0	4081	gi|2839189794|ref|XR_011219821.1|
1;size=4;	585	585	98.632	5	1	585	367	948	3	0.0	4081	gi|2839189773|ref|XR_011219800.1|
1;size=4;	585	585	98.632	5	1	585	367	948	3	0.0	4081	gi|2839189772|ref|XR_011219799.1|
1;size=4;	585	585	98.632	5	1	585	367	948	3	0.0	4081	gi|2839189755|ref|XR_011219782.1|
1;size=4;	585	585	98.632	5	1	585	369	950	3	0.0	4081	gi|2839189746|ref|XR_011219773.1|
1;size=4;	585	585	98.632	5	1	585	367	948	3	0.0	4081	gi|2839189714|ref|XR_011219741.1|
1;size=4;	585	585	98.632	5	1	585	367	948	3	0.0	4081	gi|2839189703|ref|XR_011219730.1|
1;size=4;	585	585	98.632	5	1	585	367	948	3	0.0	4081	gi|2839189700|ref|XR_011219727.1|
2;size=10;	775	776	94.072	45	1	775	1106	1881	1	0.0	175245	gi|2159201312|emb|OU940142.1|
2;size=10;	775	787	86.912	83	1	775	1135	1913	20	0.0	175245	gi|2159203722|emb|OU942124.1|
2;size=10;	775	786	86.514	86	1	775	1150	1926	20	0.0	175245	gi|2159202383|emb|OU940811.1|
2;size=10;	775	782	85.806	98	1	775	1129	1904	13	0.0	175245	gi|2159203162|emb|OU941590.1|
2;size=10;	775	788	84.264	98	2	775	1147	1922	26	0.0	175245	gi|2159201758|emb|OU939771.1|
2;size=10;	775	788	81.853	117	1	775	292	1066	26	3.97e-178	360661	gi|124388846|gb|EF151006.1|
2;size=10;	775	752	82.580	104	1	736	291	1031	27	1.43e-177	360681	gi|83285199|gb|DQ297746.1|
2;size=10;	775	747	82.463	103	1	734	291	1022	28	8.60e-175	204742	gi|83285188|gb|DQ297735.1|
2;size=10;	775	782	81.714	117	1	769	292	1060	26	8.60e-175	360661	gi|83285186|gb|DQ297733.1|
2;size=10;	775	745	82.550	98	1	730	288	1015	32	3.09e-174	360655	gi|83285183|gb|DQ297730.1|
3;size=18;	1066	459	98.257	4	610	1066	1241	1697	4	0.0	175245	gi|2159203903|emb|OU942305.1|
3;size=18;	1066	161	93.789	9	414	574	1544	1703	1	6.56e-58	175245	gi|2159203903|emb|OU942305.1|
3;size=18;	1066	457	98.031	8	610	1066	545	1000	1	0.0	979710	gi|913748740|ref|NG_042547.1|
3;size=18;	1066	168	93.452	11	414	581	846	1013	0	1.09e-60	979710	gi|913748740|ref|NG_042547.1|
3;size=18;	1066	457	97.812	9	610	1066	593	1048	1	0.0	101098	gi|1473259946|gb|MH872890.1|
3;size=18;	1066	158	94.304	9	414	571	894	1051	0	1.83e-58	101098	gi|1473259946|gb|MH872890.1|
3;size=18;	1066	457	97.812	9	610	1066	550	1005	1	0.0	101098	gi|359294450|gb|JN940877.1|
3;size=18;	1066	168	93.452	11	414	581	851	1018	0	1.09e-60	101098	gi|359294450|gb|JN940877.1|
3;size=18;	1066	457	97.812	9	610	1066	545	1000	1	0.0	101098	gi|913748743|ref|NG_042550.1|
3;size=18;	1066	168	93.452	11	414	581	846	1013	0	1.09e-60	101098	gi|913748743|ref|NG_042550.1|
3;size=18;	1066	468	97.009	12	600	1066	1220	1686	2	0.0	175245	gi|2159200302|emb|OU938746.1|
3;size=18;	1066	161	94.410	9	414	574	1532	1692	0	3.92e-60	175245	gi|2159200302|emb|OU938746.1|
3;size=18;	1066	461	97.397	10	607	1066	541	1000	2	0.0	1343611	gi|511784164|gb|KC018393.1|
3;size=18;	1066	163	93.865	10	414	576	846	1008	0	1.41e-59	1343611	gi|511784164|gb|KC018393.1|
3;size=18;	1066	461	97.397	9	607	1066	596	1054	3	0.0	1897643	gi|1473263237|gb|MH876181.1|
3;size=18;	1066	158	94.304	9	414	571	900	1057	0	1.83e-58	1897643	gi|1473263237|gb|MH876181.1|
3;size=18;	1066	461	97.397	9	607	1066	589	1047	3	0.0	1897643	gi|1473256350|gb|MH869294.1|
3;size=18;	1066	158	94.304	9	414	571	893	1050	0	1.83e-58	1897643	gi|1473256350|gb|MH869294.1|
3;size=18;	1066	461	97.397	9	607	1066	1199	1657	3	0.0	175245	gi|2159200329|emb|OU938773.1|
3;size=18;	1066	161	94.410	9	414	574	1503	1663	0	3.92e-60	175245	gi|2159200329|emb|OU938773.1|
4;size=4;	763	320	85.938	38	446	763	75275	75589	7	2.06e-86	128191	gi|2639524613|emb|OY987286.1|
4;size=4;	763	321	85.670	38	446	763	7498	7183	8	2.67e-85	128191	gi|2639524613|emb|OY987286.1|
4;size=4;	763	321	85.670	38	446	763	17239	16924	8	2.67e-85	128191	gi|2639524613|emb|OY987286.1|
4;size=4;	763	321	85.670	38	446	763	26767	26452	8	2.67e-85	128191	gi|2639524613|emb|OY987286.1|
4;size=4;	763	321	85.670	38	446	763	36285	35970	8	2.67e-85	128191	gi|2639524613|emb|OY987286.1|
4;size=4;	763	321	85.670	38	446	763	46705	47020	8	2.67e-85	128191	gi|2639524613|emb|OY987286.1|
4;size=4;	763	321	85.670	38	446	763	84817	85132	8	2.67e-85	128191	gi|2639524613|emb|OY987286.1|
4;size=4;	763	321	85.670	38	446	763	94342	94657	8	2.67e-85	128191	gi|2639524613|emb|OY987286.1|
4;size=4;	763	321	85.670	38	446	763	101931	102246	8	2.67e-85	128191	gi|2639524613|emb|OY987286.1|
